1	23
2	1
3	2
4	3
5	4
6	5
7	1
8	7
9	6
10	1
11	2
12	11
13	7
14	1
15	2
16	7
17	7
18	2
19	1
20	18
21	20
22	2
23	11
24	14
25	5
26	9
27	26
28	26
29	11
30	2
31	29
32	2
33	14
34	3
35	12
36	3
37	1
38	18
39	2
40	1
41	30
42	5
43	2
44	13
45	18
46	5
47	5
48	3
49	1
50	26
51	3
52	7
53	5
54	1
55	6
56	1
57	10
58	2
59	1
60	18
61	27
62	12
63	17
64	3
65	6
66	22
67	7
68	1
69	16
70	8
71	23
72	8
73	22
74	11
75	5
76	12
77	35
78	23
79	33
80	46
81	30
82	1
83	29
84	3
85	36
86	4
87	2
88	45
89	10
90	19
91	55
92	1
93	57
94	8
95	10
96	18
97	11
98	5
99	20
100	35
101	7
102	21
103	1
104	4
105	22
106	9
107	8
108	10
109	15
110	13
111	26
112	37
113	6
114	16
115	20
116	6
117	4
118	10
119	4
120	2
121	13
122	18
123	2
124	3
125	21
126	26
127	43
128	10
129	3
130	32
131	10
132	21
133	3
134	24
135	59
136	2
137	6
138	24
139	7
140	5
141	14
142	3
143	3
144	3
145	29
146	2
147	3
148	3
149	6
150	36
151	12
152	39
153	7
154	4
155	18
156	10
157	22
158	6
159	11
160	17
161	5
162	43
163	12
164	16
165	1
166	33
167	2
168	1
169	32
170	11
171	5
172	6
173	22
174	26
175	10
176	13
177	1
178	3
179	11
180	1
181	1
182	1
183	1
184	13
185	2
186	18
187	47
188	35
189	38
190	7
191	4
192	32
193	8
194	3
195	6
196	5
197	1
198	1
199	18
200	29
201	13
202	8
203	3
204	40
205	5
206	33
207	1
208	1
209	2
210	20
211	6
212	1
213	5
214	2
215	16
216	3
217	4
218	13
219	14
220	51
221	17
222	58
223	19
224	2
225	4
226	21
227	6
228	5
229	12
230	9
231	16
232	1
233	3
234	45
235	22
236	4
237	8
238	5
239	35
240	18
241	10
242	1
243	3
244	16
245	28
246	35
247	14
248	6
249	9
250	2
251	3
252	22
253	11
254	1
255	16
256	1
